0,background,"0,0,0"
1,tissue,"128,174,128"
2,bone,"241,214,145"
3,skin,"177,122,101"
4,"connective tissue","111,184,210"
5,blood,"216,101,79"
6,organ,"221,130,101"
7,mass,"144,238,144"
8,muscle,"192,104,88"
9,"foreign object","220,245,20"
10,waste,"78,63,0"
11,teeth,"255,250,220"
12,fat,"230,220,70"
13,"gray matter","200,200,235"
14,"white matter","250,250,210"
15,nerve,"244,214,49"
16,vein,"0,151,206"
17,artery,"216,101,79"
18,capillary,"183,156,220"
19,ligament,"183,214,211"
20,tendon,"152,189,207"
21,cartilage,"111,184,210"
22,meniscus,"178,212,242"
23,"lymph node","68,172,100"
24,"lymphatic vessel","111,197,131"
25,"cerebro-spinal fluid","85,188,255"
26,bile,"0,145,30"
27,urine,"214,230,130"
28,feces,"78,63,0"
29,gas,"218,255,255"
30,fluid,"170,250,250"
31,edema,"140,224,228"
32,bleeding,"188,65,28"
33,necrosis,"216,191,216"
34,clot,"145,60,66"
35,embolism,"150,98,83"
36,head,"177,122,101"
37,"central nervous system","244,214,49"
38,brain,"250,250,225"
39,"gray matter of brain","200,200,215"
40,telencephalon,"68,131,98"
41,"cerebral cortex","128,174,128"
42,"right frontal lobe","83,146,164"
43,"left frontal lobe","83,146,164"
44,"right temporal lobe","162,115,105"
45,"left temporal lobe","162,115,105"
46,"right parietal lobe","141,93,137"
47,"left parietal lobe","141,93,137"
48,"right occipital lobe","182,166,110"
49,"left occipital lobe","182,166,110"
50,"right insular lobe","188,135,166"
51,"left insular lobe","188,135,166"
52,"right limbic lobe","154,150,201"
53,"left limbic lobe","154,150,201"
54,"right striatum","177,140,190"
55,"left striatum","177,140,190"
56,"right caudate nucleus","30,111,85"
57,"left caudate nucleus","30,111,85"
58,"right putamen","210,157,166"
59,"left putamen","210,157,166"
60,"right pallidum","48,129,126"
61,"left pallidum","48,129,126"
62,"right amygdaloid complex","98,153,112"
63,"left amygdaloid complex","98,153,112"
64,diencephalon,"69,110,53"
65,thalamus,"166,113,137"
66,"right thalamus","122,101,38"
67,"left thalamus","122,101,38"
68,"pineal gland","253,135,192"
69,midbrain,"145,92,109"
70,"substantia nigra","46,101,131"
71,"right substantia nigra","0,108,112"
72,"left substantia nigra","0,108,112"
73,"cerebral white matter","250,250,225"
74,"right superior longitudinal fasciculus","127,150,88"
75,"left superior longitudinal fasciculus","127,150,88"
76,"right inferior longitudinal fasciculus","159,116,163"
77,"left inferior longitudinal fasciculus","159,116,163"
78,"right arcuate fasciculus","125,102,154"
79,"left arcuate fasciculus","125,102,154"
80,"right uncinate fasciculus","106,174,155"
81,"left uncinate fasciculus","106,174,155"
82,"right cingulum bundle","154,146,83"
83,"left cingulum bundle","154,146,83"
84,"projection fibers","126,126,55"
85,"right corticospinal tract","201,160,133"
86,"left corticospinal tract","201,160,133"
87,"right optic radiation","78,152,141"
88,"left optic radiation","78,152,141"
89,"right medial lemniscus","174,140,103"
90,"left medial lemniscus","174,140,103"
91,"right superior cerebellar peduncle","139,126,177"
92,"left superior cerebellar peduncle","139,126,177"
93,"right middle cerebellar peduncle","148,120,72"
94,"left middle cerebellar peduncle","148,120,72"
95,"right inferior cerebellar peduncle","186,135,135"
96,"left inferior cerebellar peduncle","186,135,135"
97,"optic chiasm","99,106,24"
98,"right optic tract","156,171,108"
99,"left optic tract","156,171,108"
100,"right fornix","64,123,147"
101,"left fornix","64,123,147"
102,"commissural fibers","138,95,74"
103,"corpus callosum","97,113,158"
104,"posterior commissure","126,161,197"
105,"cerebellar white matter","194,195,164"
106,"CSF space","85,188,255"
107,"ventricles of brain","88,106,215"
108,"right lateral ventricle","88,106,215"
109,"left lateral ventricle","88,106,215"
110,"right third ventricle","88,106,215"
111,"left third ventricle","88,106,215"
